time;V(/vin);V(/vout);
0.100226;5.9325;2.69384;
0.100226;5.93418;2.70031;
0.100227;5.93584;2.70677;
0.100227;5.93748;2.71323;
0.100227;5.9391;2.71967;
0.100228;5.9407;2.7261;
0.100228;5.94227;2.73253;
0.100228;5.94383;2.73894;
0.100229;5.94536;2.74535;
0.100229;5.94687;2.75174;
0.100229;5.94836;2.75813;
0.100229;5.94983;2.7645;
0.10023;5.95128;2.77087;
0.10023;5.95271;2.77722;
0.10023;5.95412;2.78357;
0.100231;5.9555;2.78991;
0.100231;5.95687;2.79623;
0.100231;5.95821;2.80255;
0.100232;5.95953;2.80886;
0.100232;5.96083;2.81515;
0.100232;5.96211;2.82144;
0.100232;5.96337;2.82772;
0.100233;5.96461;2.83398;
0.100233;5.96582;2.84024;
0.100233;5.96702;2.84648;
0.100234;5.96819;2.85272;
0.100234;5.96934;2.85895;
0.100234;5.97048;2.86516;
0.100235;5.97159;2.87137;
0.100235;5.97267;2.87756;
0.100235;5.97374;2.88375;
0.100235;5.97479;2.88992;
0.100236;5.97581;2.89609;
0.100236;5.97682;2.90224;
0.100236;5.9778;2.90838;
0.100237;5.97876;2.91452;
0.100237;5.9797;2.92064;
0.100237;5.98062;2.92675;
0.100238;5.98152;2.93286;
0.100238;5.98239;2.93895;
0.100238;5.98325;2.94503;
0.100238;5.98408;2.9511;
0.100239;5.9849;2.95716;
0.100239;5.98569;2.96321;
0.100239;5.98646;2.96925;
0.10024;5.98721;2.97528;
0.10024;5.98793;2.9813;
0.10024;5.98864;2.98731;
0.100241;5.98933;2.99331;
0.100241;5.98999;2.99929;
0.100241;5.99063;3.00527;
0.100241;5.99125;3.01123;
0.100242;5.99185;3.01719;
0.100242;5.99243;3.02313;
0.100242;5.99299;3.02907;
0.100243;5.99352;3.03499;
0.100243;5.99404;3.0409;
0.100243;5.99453;3.0468;
0.100244;5.995;3.05269;
0.100244;5.99545;3.05857;
0.100244;5.99588;3.06444;
0.100244;5.99629;3.0703;
0.100245;5.99668;3.07614;
0.100245;5.99705;3.08198;
0.100245;5.99739;3.0878;
0.100246;5.99771;3.09362;
0.100246;5.99801;3.09942;
0.100246;5.99829;3.10521;
0.100247;5.99855;3.11099;
0.100247;5.99879;3.11676;
0.100247;5.99901;3.12252;
0.100247;5.9992;3.12827;
0.100248;5.99938;3.134;
0.100248;5.99953;3.13973;
0.100248;5.99966;3.14544;
0.100249;5.99977;3.15115;
0.100249;5.99986;3.15684;
0.100249;5.99993;3.16252;
0.10025;5.99997;3.16819;
0.10025;6;3.17384;
0.10025;6;3.17949;
0.10025;5.99998;3.18513;
0.100251;5.99994;3.19075;
0.100251;5.99988;3.19636;
0.100251;5.9998;3.20196;
0.100252;5.99969;3.20755;
0.100252;5.99957;3.21313;
0.100252;5.99942;3.2187;
0.100253;5.99926;3.22426;
0.100253;5.99907;3.2298;
0.100253;5.99886;3.23533;
