v-sweep;V(/vin);V(/vout);
1.78;1.78;1.25891;
1.79;1.79;1.26851;
1.8;1.8;1.27812;
1.81;1.81;1.28774;
1.82;1.82;1.29735;
1.83;1.83;1.30697;
1.84;1.84;1.31659;
1.85;1.85;1.32621;
1.86;1.86;1.33584;
1.87;1.87;1.34546;
1.88;1.88;1.3551;
1.89;1.89;1.36473;
1.9;1.9;1.37436;
1.91;1.91;1.384;
1.92;1.92;1.39364;
1.93;1.93;1.40329;
1.94;1.94;1.41293;
1.95;1.95;1.42258;
1.96;1.96;1.43223;
1.97;1.97;1.44188;
1.98;1.98;1.45154;
1.99;1.99;1.46119;
2;2;1.47085;
2.01;2.01;1.48051;
2.02;2.02;1.49017;
2.03;2.03;1.49984;
2.04;2.04;1.50951;
2.05;2.05;1.51918;
2.06;2.06;1.52885;
2.07;2.07;1.53852;
2.08;2.08;1.5482;
2.09;2.09;1.55787;
2.1;2.1;1.56755;
2.11;2.11;1.57723;
2.12;2.12;1.58692;
2.13;2.13;1.5966;
2.14;2.14;1.60629;
2.15;2.15;1.61598;
2.16;2.16;1.62567;
2.17;2.17;1.63536;
2.18;2.18;1.64505;
2.19;2.19;1.65475;
2.2;2.2;1.66445;
2.21;2.21;1.67415;
2.22;2.22;1.68385;
2.23;2.23;1.69355;
2.24;2.24;1.70325;
2.25;2.25;1.71296;
2.26;2.26;1.72267;
2.27;2.27;1.73238;
2.28;2.28;1.74209;
2.29;2.29;1.7518;
2.3;2.3;1.76151;
2.31;2.31;1.77123;
2.32;2.32;1.78094;
2.33;2.33;1.79066;
2.34;2.34;1.80038;
2.35;2.35;1.8101;
2.36;2.36;1.81982;
2.37;2.37;1.82955;
2.38;2.38;1.83927;
2.39;2.39;1.849;
2.4;2.4;1.85873;
2.41;2.41;1.86846;
2.42;2.42;1.87819;
2.43;2.43;1.88792;
2.44;2.44;1.89765;
2.45;2.45;1.90739;
2.46;2.46;1.91713;
2.47;2.47;1.92686;
2.48;2.48;1.9366;
2.49;2.49;1.94634;
2.5;2.5;1.95608;
2.51;2.51;1.96583;
2.52;2.52;1.97557;
2.53;2.53;1.98532;
2.54;2.54;1.99506;
2.55;2.55;2.00481;
2.56;2.56;2.01456;
2.57;2.57;2.02431;
2.58;2.58;2.03406;
2.59;2.59;2.04381;
2.6;2.6;2.05356;
2.61;2.61;2.06332;
2.62;2.62;2.07307;
2.63;2.63;2.08283;
2.64;2.64;2.09259;
2.65;2.65;2.10235;
2.66;2.66;2.11211;
2.67;2.67;2.12187;
2.68;2.68;2.13163;
2.69;2.69;2.14139;
2.7;2.7;2.15116;
2.71;2.71;2.16092;
2.72;2.72;2.17069;
2.73;2.73;2.18046;
2.74;2.74;2.19023;
