time;V(/vd);V(/vrsh);
0.10174;1.46609;0.741656;
0.101743;1.46694;0.742435;
0.101746;1.4678;0.74321;
0.101749;1.46865;0.743983;
0.101752;1.4695;0.744753;
0.101755;1.47035;0.74552;
0.101758;1.47119;0.746284;
0.101761;1.47203;0.747046;
0.101764;1.47286;0.747804;
0.101767;1.47369;0.74856;
0.10177;1.47452;0.749312;
0.101773;1.47535;0.750062;
0.101776;1.47617;0.750809;
0.101779;1.47699;0.751553;
0.101782;1.47781;0.752295;
0.101785;1.47862;0.753033;
0.101788;1.47943;0.753769;
0.101791;1.48024;0.754501;
0.101794;1.48104;0.755231;
0.101797;1.48184;0.755958;
0.1018;1.48264;0.756682;
0.101803;1.48344;0.757403;
0.101806;1.48423;0.758121;
0.101809;1.48501;0.758836;
0.101812;1.4858;0.759549;
0.101815;1.48658;0.760258;
0.101818;1.48736;0.760965;
0.101821;1.48813;0.761669;
0.101824;1.4889;0.762369;
0.101827;1.48967;0.763067;
0.10183;1.49044;0.763762;
0.101833;1.4912;0.764454;
0.101836;1.49196;0.765143;
0.101839;1.49271;0.765829;
0.101842;1.49346;0.766513;
0.101845;1.49421;0.767193;
0.101848;1.49496;0.76787;
0.101851;1.4957;0.768545;
0.101854;1.49644;0.769216;
0.101857;1.49718;0.769885;
0.10186;1.49791;0.77055;
0.101863;1.49864;0.771213;
0.101866;1.49936;0.771873;
0.101869;1.50009;0.77253;
0.101872;1.50081;0.773183;
0.101875;1.50152;0.773834;
0.101878;1.50223;0.774482;
0.101881;1.50294;0.775127;
0.101884;1.50365;0.775769;
0.101887;1.50435;0.776408;
0.10189;1.50505;0.777044;
0.101893;1.50575;0.777678;
0.101896;1.50644;0.778308;
0.101899;1.50713;0.778935;
0.101902;1.50782;0.779559;
0.101905;1.5085;0.78018;
0.101908;1.50918;0.780799;
0.101911;1.50986;0.781414;
0.101914;1.51053;0.782026;
0.101917;1.5112;0.782635;
0.10192;1.51187;0.783242;
0.101923;1.51253;0.783845;
0.101926;1.51319;0.784445;
0.101929;1.51385;0.785043;
0.101932;1.5145;0.785637;
0.101935;1.51515;0.786228;
0.101938;1.5158;0.786817;
0.101941;1.51644;0.787402;
0.101944;1.51708;0.787985;
0.101947;1.51772;0.788564;
0.10195;1.51835;0.78914;
0.101953;1.51898;0.789714;
0.101956;1.51961;0.790284;
0.101959;1.52023;0.790851;
0.101962;1.52085;0.791415;
0.101965;1.52147;0.791977;
0.101968;1.52208;0.792535;
0.101971;1.52269;0.79309;
0.101974;1.5233;0.793642;
0.101977;1.5239;0.794191;
0.10198;1.5245;0.794738;
0.101983;1.5251;0.795281;
0.101986;1.52569;0.795821;
0.101989;1.52628;0.796358;
0.101992;1.52687;0.796892;
0.101995;1.52745;0.797423;
0.101998;1.52803;0.797951;
0.102001;1.52861;0.798476;
0.102004;1.52918;0.798997;
0.102007;1.52975;0.799516;
0.10201;1.53032;0.800032;
0.102013;1.53088;0.800545;
0.102016;1.53144;0.801054;
0.102019;1.532;0.801561;
0.102022;1.53255;0.802064;
0.102025;1.5331;0.802565;
0.102028;1.53365;0.803062;
0.102031;1.53419;0.803557;
0.102034;1.53473;0.804048;
0.102037;1.53527;0.804536;
0.10204;1.5358;0.805021;
0.102043;1.53633;0.805503;
0.102046;1.53686;0.805982;
0.102049;1.53738;0.806458;
0.102052;1.5379;0.806931;
0.102055;1.53841;0.807401;
0.102058;1.53893;0.807868;
0.102061;1.53944;0.808332;
0.102064;1.53994;0.808792;
0.102067;1.54044;0.80925;
0.10207;1.54094;0.809704;
0.102073;1.54144;0.810155;
0.102076;1.54193;0.810604;
0.102079;1.54242;0.811049;
0.102082;1.5429;0.811491;
0.102085;1.54339;0.81193;
0.102088;1.54386;0.812366;
0.102091;1.54434;0.812798;
0.102094;1.54481;0.813228;
0.102097;1.54528;0.813655;
0.1021;1.54574;0.814078;
0.102103;1.54621;0.814499;
0.102106;1.54666;0.814916;
0.102109;1.54712;0.81533;
0.102112;1.54757;0.815741;
0.102115;1.54802;0.816149;
0.102118;1.54846;0.816554;
0.102121;1.5489;0.816956;
0.102124;1.54934;0.817354;
0.102127;1.54977;0.81775;
0.10213;1.55021;0.818142;
0.102133;1.55063;0.818532;
0.102136;1.55106;0.818918;
0.102139;1.55148;0.819301;
0.102142;1.55189;0.819681;
0.102145;1.55231;0.820058;
0.102148;1.55272;0.820431;
0.102151;1.55312;0.820802;
0.102154;1.55353;0.82117;
0.102157;1.55393;0.821534;
0.10216;1.55432;0.821895;
0.102163;1.55472;0.822253;
0.102166;1.55511;0.822608;
0.102169;1.55549;0.82296;
0.102172;1.55587;0.823309;
0.102175;1.55625;0.823654;
0.102178;1.55663;0.823997;
0.102181;1.557;0.824336;
0.102184;1.55737;0.824672;
0.102187;1.55774;0.825005;
0.10219;1.5581;0.825335;
0.102193;1.55846;0.825662;
0.102196;1.55881;0.825985;
0.102199;1.55916;0.826306;
0.102202;1.55951;0.826623;
0.102205;1.55985;0.826937;
0.102208;1.5602;0.827248;
0.102211;1.56053;0.827556;
0.102214;1.56087;0.827861;
0.102217;1.5612;0.828162;
0.10222;1.56153;0.828461;
0.102223;1.56185;0.828756;
0.102226;1.56217;0.829048;
0.102229;1.56249;0.829337;
0.102232;1.5628;0.829623;
0.102235;1.56311;0.829905;
0.102238;1.56342;0.830185;
0.102241;1.56372;0.830461;
0.102244;1.56402;0.830734;
0.102247;1.56432;0.831004;
0.10225;1.56461;0.831271;
0.102253;1.5649;0.831535;
0.102256;1.56518;0.831795;
0.102259;1.56547;0.832053;
0.102262;1.56574;0.832307;
0.102265;1.56602;0.832558;
0.102268;1.56629;0.832806;
0.102271;1.56656;0.833051;
0.102274;1.56682;0.833292;
0.102277;1.56709;0.83353;
0.10228;1.56734;0.833766;
0.102283;1.5676;0.833998;
0.102286;1.56785;0.834226;
0.102289;1.5681;0.834452;
0.102292;1.56834;0.834675;
0.102295;1.56858;0.834894;
0.102298;1.56882;0.83511;
0.102301;1.56905;0.835323;
0.102304;1.56928;0.835533;
0.102307;1.56951;0.835739;
0.10231;1.56973;0.835943;
0.102313;1.56995;0.836143;
0.102316;1.57017;0.83634;
0.102319;1.57038;0.836534;
0.102322;1.57059;0.836725;
0.102325;1.57079;0.836912;
0.102328;1.571;0.837097;
0.102331;1.57119;0.837278;
0.102334;1.57139;0.837456;
0.102337;1.57158;0.837631;
0.10234;1.57177;0.837802;
0.102343;1.57195;0.837971;
0.102346;1.57214;0.838136;
0.102349;1.57231;0.838298;
0.102352;1.57249;0.838457;
0.102355;1.57266;0.838612;
0.102358;1.57282;0.838765;
0.102361;1.57299;0.838914;
0.102364;1.57315;0.83906;
0.102367;1.57331;0.839203;
0.10237;1.57346;0.839343;
0.102373;1.57361;0.839479;
0.102376;1.57375;0.839613;
0.102379;1.5739;0.839743;
0.102382;1.57404;0.83987;
0.102385;1.57417;0.839994;
0.102388;1.5743;0.840114;
0.102391;1.57443;0.840232;
0.102394;1.57456;0.840346;
0.102397;1.57468;0.840457;
0.1024;1.5748;0.840565;
0.102403;1.57491;0.840669;
0.102406;1.57502;0.84077;
0.102409;1.57513;0.840869;
0.102412;1.57524;0.840964;
0.102415;1.57534;0.841056;
0.102418;1.57543;0.841144;
0.102421;1.57553;0.84123;
0.102424;1.57562;0.841312;
0.102427;1.5757;0.841391;
0.10243;1.57579;0.841467;
0.102433;1.57587;0.841539;
0.102436;1.57594;0.841609;
0.102439;1.57601;0.841675;
0.102442;1.57608;0.841738;
0.102445;1.57615;0.841798;
0.102448;1.57621;0.841854;
0.102451;1.57627;0.841908;
0.102454;1.57632;0.841958;
0.102457;1.57638;0.842005;
0.10246;1.57642;0.842049;
0.102463;1.57647;0.842089;
0.102466;1.57651;0.842127;
0.102469;1.57655;0.842161;
0.102472;1.57658;0.842192;
0.102475;1.57661;0.84222;
0.102478;1.57664;0.842244;
0.102481;1.57666;0.842266;
0.102484;1.57668;0.842284;
0.102487;1.5767;0.842299;
0.10249;1.57671;0.842311;
0.102493;1.57672;0.842319;
0.102496;1.57673;0.842325;
0.102499;1.57673;0.842327;
0.102502;1.57673;0.842326;
0.102505;1.57672;0.842322;
0.102508;1.57672;0.842314;
0.102511;1.5767;0.842304;
0.102514;1.57669;0.84229;
0.102517;1.57667;0.842273;
0.10252;1.57665;0.842253;
0.102523;1.57662;0.842229;
0.102526;1.57659;0.842203;
0.102529;1.57656;0.842173;
0.102532;1.57652;0.84214;
0.102535;1.57648;0.842104;
0.102538;1.57644;0.842064;
0.102541;1.57639;0.842022;
0.102544;1.57634;0.841976;
0.102547;1.57629;0.841927;
0.10255;1.57623;0.841874;
0.102553;1.57617;0.841819;
0.102556;1.57611;0.84176;
0.102559;1.57604;0.841699;
0.102562;1.57597;0.841633;
0.102565;1.57589;0.841565;
0.102568;1.57582;0.841494;
0.102571;1.57573;0.841419;
0.102574;1.57565;0.841341;
0.102577;1.57556;0.84126;
0.10258;1.57547;0.841176;
