x1 time x2 v(/vin) x3 v(/vout)
Step Information:
 1.10534223e-02  1.10534223e-02  1.10534223e-02 -5.12968426e+00  1.10534223e-02  4.81151420e+00 
 1.11174223e-02  1.11174223e-02  1.11174223e-02 -5.20327549e+00  1.11174223e-02  4.80547965e+00 
 1.11814223e-02  1.11814223e-02  1.11814223e-02 -5.27383787e+00  1.11814223e-02  4.79945267e+00 
 1.12454223e-02  1.12454223e-02  1.12454223e-02 -5.34133033e+00  1.12454223e-02  4.79343325e+00 
 1.13094223e-02  1.13094223e-02  1.13094223e-02 -5.40571358e+00  1.13094223e-02  4.78742138e+00 
 1.13734223e-02  1.13734223e-02  1.13734223e-02 -5.46695013e+00  1.13734223e-02  4.78141704e+00 
 1.14374223e-02  1.14374223e-02  1.14374223e-02 -5.52500434e+00  1.14374223e-02  4.77542024e+00 
 1.15014223e-02  1.15014223e-02  1.15014223e-02 -5.57984243e+00  1.15014223e-02  4.76943097e+00 
 1.15654223e-02  1.15654223e-02  1.15654223e-02 -5.63143246e+00  1.15654223e-02  4.76344920e+00 
 1.16294223e-02  1.16294223e-02  1.16294223e-02 -5.67974441e+00  1.16294223e-02  4.75747493e+00 
 1.16934223e-02  1.16934223e-02  1.16934223e-02 -5.72475015e+00  1.16934223e-02  4.75150816e+00 
 1.17574223e-02  1.17574223e-02  1.17574223e-02 -5.76642349e+00  1.17574223e-02  4.74554888e+00 
 1.18214223e-02  1.18214223e-02  1.18214223e-02 -5.80474016e+00  1.18214223e-02  4.73959706e+00 
 1.18854223e-02  1.18854223e-02  1.18854223e-02 -5.83967787e+00  1.18854223e-02  4.73365272e+00 
 1.19494223e-02  1.19494223e-02  1.19494223e-02 -5.87121628e+00  1.19494223e-02  4.72771583e+00 
 1.20134223e-02  1.20134223e-02  1.20134223e-02 -5.89933702e+00  1.20134223e-02  4.72178638e+00 
 1.20774223e-02  1.20774223e-02  1.20774223e-02 -5.92402373e+00  1.20774223e-02  4.71586437e+00 
 1.21414223e-02  1.21414223e-02  1.21414223e-02 -5.94526204e+00  1.21414223e-02  4.70994979e+00 
 1.22054223e-02  1.22054223e-02  1.22054223e-02 -5.96303958e+00  1.22054223e-02  4.70404263e+00 
 1.22694223e-02  1.22694223e-02  1.22694223e-02 -5.97734601e+00  1.22694223e-02  4.69814288e+00 
 1.23334223e-02  1.23334223e-02  1.23334223e-02 -5.98817300e+00  1.23334223e-02  4.69225052e+00 
 1.23974223e-02  1.23974223e-02  1.23974223e-02 -5.99551425e+00  1.23974223e-02  4.68636556e+00 
 1.24614223e-02  1.24614223e-02  1.24614223e-02 -5.99936548e+00  1.24614223e-02  4.68048798e+00 
 1.25254223e-02  1.25254223e-02  1.25254223e-02 -5.99972444e+00  1.25254223e-02  4.67461777e+00 
 1.25894223e-02  1.25894223e-02  1.25894223e-02 -5.99659095e+00  1.25894223e-02  4.66875492e+00 
 1.26534223e-02  1.26534223e-02  1.26534223e-02 -5.98996680e+00  1.26534223e-02  4.66289943e+00 
 1.27174223e-02  1.27174223e-02  1.27174223e-02 -5.97985587e+00  1.27174223e-02  4.65705128e+00 
 1.27814223e-02  1.27814223e-02  1.27814223e-02 -5.96626404e+00  1.27814223e-02  4.65121047e+00 
 1.28454223e-02  1.28454223e-02  1.28454223e-02 -5.94919921e+00  1.28454223e-02  4.64537698e+00 
 1.29094223e-02  1.29094223e-02  1.29094223e-02 -5.92867133e+00  1.29094223e-02  4.63955081e+00 
 1.29734223e-02  1.29734223e-02  1.29734223e-02 -5.90469235e+00  1.29734223e-02  4.63373195e+00 
 1.30374223e-02  1.30374223e-02  1.30374223e-02 -5.87727621e+00  1.30374223e-02  4.62792038e+00 
 1.31014223e-02  1.31014223e-02  1.31014223e-02 -5.84643888e+00  1.31014223e-02  4.62211611e+00 
 1.31654223e-02  1.31654223e-02  1.31654223e-02 -5.81219831e+00  1.31654223e-02  4.61631911e+00 
 1.32294223e-02  1.32294223e-02  1.32294223e-02 -5.77457444e+00  1.32294223e-02  4.61052939e+00 
 1.32934223e-02  1.32934223e-02  1.32934223e-02 -5.73358916e+00  1.32934223e-02  4.60474692e+00 
 1.33574223e-02  1.33574223e-02  1.33574223e-02 -5.68926633e+00  1.33574223e-02  4.59897171e+00 
 1.34214223e-02  1.34214223e-02  1.34214223e-02 -5.64163175e+00  1.34214223e-02  4.59320375e+00 
 1.34854223e-02  1.34854223e-02  1.34854223e-02 -5.59071315e+00  1.34854223e-02  4.58744302e+00 
 1.35494223e-02  1.35494223e-02  1.35494223e-02 -5.53654016e+00  1.35494223e-02  4.58168951e+00 
 1.36134223e-02  1.36134223e-02  1.36134223e-02 -5.47914434e+00  1.36134223e-02  4.57594322e+00 
 1.36774223e-02  1.36774223e-02  1.36774223e-02 -5.41855907e+00  1.36774223e-02  4.57020414e+00 
 1.37414223e-02  1.37414223e-02  1.37414223e-02 -5.35481964e+00  1.37414223e-02  4.56447225e+00 
 1.38054223e-02  1.38054223e-02  1.38054223e-02 -5.28796314e+00  1.38054223e-02  4.55874756e+00 
 1.38694223e-02  1.38694223e-02  1.38694223e-02 -5.21802850e+00  1.38694223e-02  4.55303004e+00 
 1.39334223e-02  1.39334223e-02  1.39334223e-02 -5.14505641e+00  1.39334223e-02  4.54731970e+00 
 1.39974223e-02  1.39974223e-02  1.39974223e-02 -5.06908937e+00  1.39974223e-02  4.54161652e+00 
 1.40614223e-02  1.40614223e-02  1.40614223e-02 -4.99017158e+00  1.40614223e-02  4.53592049e+00 
 1.41254223e-02  1.41254223e-02  1.41254223e-02 -4.90834899e+00  1.41254223e-02  4.53023161e+00 
 1.41894223e-02  1.41894223e-02  1.41894223e-02 -4.82366923e+00  1.41894223e-02  4.52454986e+00 
 1.42534223e-02  1.42534223e-02  1.42534223e-02 -4.73618158e+00  1.42534223e-02  4.51887524e+00 
 1.43174223e-02  1.43174223e-02  1.43174223e-02 -4.64593699e+00  1.43174223e-02  4.51320773e+00 
 1.43814223e-02  1.43814223e-02  1.43814223e-02 -4.55298797e+00  1.43814223e-02  4.50754734e+00 
 1.44454223e-02  1.44454223e-02  1.44454223e-02 -4.45738863e+00  1.44454223e-02  4.50189404e+00 
 1.45094223e-02  1.45094223e-02  1.45094223e-02 -4.35919463e+00  1.45094223e-02  4.49624784e+00 
 1.45734223e-02  1.45734223e-02  1.45734223e-02 -4.25846312e+00  1.45734223e-02  4.49060871e+00 
 1.46374223e-02  1.46374223e-02  1.46374223e-02 -4.15525274e+00  1.46374223e-02  4.48497666e+00 
 1.47014223e-02  1.47014223e-02  1.47014223e-02 -4.04962357e+00  1.47014223e-02  4.47935168e+00 
